Title,Release Date,Genres,Runtime,Format,Country,Language,Foreign Language,Seen,Is TV Series,Runtime in Minutes,Duration Type
My Young Auntie,1981,Action | Comedy,2:01,DVD,Hong Kong,Cantonese,Yes,No,No,121,Medium
The Myth,2005,Action | Adventure | Comedy | Drama | Fantasy,2:02,DVD,Hong Kong,Mandarin,Yes,No,No,122,Medium
Neon Genesis Evangelion: The End Of Evangelion,1997,Action | Animation | Drama | Science Fiction,1:30,DVD,Japan,Japanese,Yes,No,Yes,90,Medium
The Next Karate Kid,1994,Action | Drama | Family | Romance | Sports,1:47,DVD,USA,English,No,No,No,107,Medium
The Nice Guys,2016,Action | Comedy | Crime | Thriller,1:56,Blu-ray,USA,English,No,No,No,116,Medium
North by Northwest,1959,Action | Adventure | Mystery | Thriller,2:16,Blu-ray,USA,English,No,No,No,136,Medium
North by Northwest,1959,Action | Adventure | Mystery | Thriller,2:16,Blu-ray,USA,English,No,No,No,136,Medium
Now You See Me,2013,Crime | Mystery | Thriller,1:55,Blu-ray,USA,English,No,No,No,115,Medium
Observe and Report,2009,Comedy | Crime | Drama,1:26,Blu-ray,USA,English,No,No,No,86,Short
Office Space,1999,Comedy,1:29,DVD,USA,English,No,No,No,89,Short
Once Upon a Time in China,1991,Action | Adventure | History,2:14,DVD,Hong Kong,Cantonese,Yes,No,No,134,Medium
Once Upon a Time in China II,1992,Action | Adventure | Biography | History | Romance,1:53,DVD,Hong Kong,Cantonese,Yes,No,No,113,Medium
Once Upon a Time in China III,1992,Action | Adventure | Biography | History,1:49,DVD,Hong Kong,Cantonese,Yes,No,No,109,Medium
Once Upon a Time in Hollywood,2019,Comedy | Drama,2:41,4K UHD,USA,English,No,No,No,161,Medium
Ong Bak 2,2008,Action,1:38,DVD,Thailand,Thai,Yes,No,No,98,Medium
Pan's Labyrinth,2006,Drama | Fantasy | War,1:58,DVD,Mexico,Spanish,Yes,No,No,118,Medium
Parasite,2019,Drama | Thriller,2:12,4K UHD,South Korea,Korean,Yes,No,No,132,Medium
The Patriot,2000,Action | Drama | History | War,2:45,DVD,USA,English,No,No,No,165,Medium
Patton,1970,Biography | Drama | War,2:52,Blu-ray,USA,English,No,No,No,172,Long
Paul,2011,Adventure | Comedy | Science Fiction,1:44,Blu-ray,USA,English,No,No,No,104,Medium
"It's the Great Pumpkin, Charlie Brown",1966,Animation | Comedy | Family,0:25,Blu-ray,USA,English,No,No,No,745,Long
Pearl Harbor,2001,Action | Drama | History | Romance | War,3:03,DVD,USA,English,No,No,No,183,Long
Pirates of the Caribbean: At World's End,2007,Action | Adventure | Fantasy,2:49,Blu-ray,USA,English,No,No,No,169,Long
Pirates of the Caribbean: Dead Man's Chest,2006,Action | Adventure | Fantasy,2:31,Blu-ray,USA,English,No,No,No,151,Medium
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action | Adventure | Fantasy,2:23,Blu-ray,USA,English,No,No,No,143,Medium
Pitch Perfect,2012,Comedy | Music | Romance,1:52,DVD,USA,English,No,No,No,112,Medium
Planet Earth,2007,Documentary,8:58,Blu-ray,UK,English,No,No,Yes,538,Long
Planet Earth II,2017,Documentary,4:57,4K UHD,UK,English,No,No,Yes,297,Long
Police Story / Police Story 2,1987,Action | Adventure | Comedy | Crime | Foreign | Martial Arts | Thriller,3:02,Blu-ray,USA,English,No,No,No,182,Long
Predators,2010,Action | Adventure | Science Fiction | Thriller,1:47,Blu-ray,USA,English,No,No,No,107,Medium
The Princess Bride,1987,Adventure | Comedy | Family | Fantasy | Romance,1:38,Blu-ray,USA,English,No,No,No,98,Medium
Princess Mononoke,1997,Action | Adventure | Animation | Fantasy,2:14,DVD,Japan,Japanese,Yes,No,No,134,Medium
The Prodigal Son,1981,Action | Comedy,1:44,DVD,Hong Kong,Cantonese,Yes,No,No,104,Medium
Project A-Ko,1986,Action | Adventure | Animation | Comedy | Science Fiction,1:26,DVD,Japan,Japanese,Yes,No,No,86,Short
The Promise,2005,Action | Drama | Fantasy,2:01,DVD,China,Mandarin,Yes,No,No,121,Medium
Psycho,1960,Horror | Mystery | Thriller,1:49,Blu-ray,USA,English,No,No,No,109,Medium
Pulp Fiction,1994,Crime | Drama,2:34,Blu-ray,USA,English,No,No,No,154,Medium
The Raid 2,2014,Action | Crime | Thriller,2:30,Blu-ray,Indonesia,Indonesian,Yes,No,No,150,Medium
The Raid: Redemption,2011,Action | Crime | Thriller,1:41,Blu-ray,Indonesia,Indonesian,Yes,No,No,101,Medium
Ranma 1/2: OVA Series,1989,Action | Animation | Comedy | Fantasy | Romance,6:15,DVD,Japan,Japanese,Yes,No,Yes,375,Long
Ranma 1/2: OVA Series,1989,Action | Animation | Comedy | Fantasy | Romance,6:15,Blu-ray,Japan,Japanese,Yes,No,Yes,375,Long
Ranma 1/2: The Movie 1: Big Trouble In Nekonron China,1991,Anime,1:15,Blu-ray,USA,Japanese,Yes,No,No,75,Short
"Ranma ½: The Movie 2, Nihao My Concubine",1992,Action | Adventure | Animation | Comedy | Fantasy | Romance,1:00,DVD,Japan,Japanese,Yes,No,No,60,Short
"Ranma ½: The Movie 2, Nihao My Concubine",1992,Action | Adventure | Animation | Comedy | Fantasy | Romance,1:00,Blu-ray,Japan,Japanese,Yes,No,No,60,Short
Ratatouille,2007,Adventure | Animation | Comedy | Family | Fantasy,1:51,Blu-ray,USA,English,No,No,No,111,Medium
Rear Window,1954,Mystery | Thriller,1:52,Blu-ray,USA,English,No,No,No,112,Medium
RED,2010,Action | Comedy | Crime | Thriller,1:51,Blu-ray,USA,English,No,No,No,111,Medium
Reservoir Dogs,1992,Crime | Thriller,1:39,Blu-ray,USA,English,No,No,No,99,Medium
Resident Evil,2002,Action | Horror | Science Fiction,1:40,DVD,UK,English,No,No,No,100,Medium
Resident Evil: Apocalypse,2004,Action | Horror | Science Fiction | Thriller,1:34,DVD,Germany,English,No,No,No,94,Medium
Riddick: the Complete Collection,2000,Action | Adventure | Animation | Horror | Science Fiction | Thriller,6:13,DVD,USA,English,No,No,No,373,Long
Rocky: The Undisputed Collection,2007,Adventure | Animation | Drama | Sports,10:30,Blu-ray,USA,English,No,No,No,630,Long
Rogue One: A Star Wars Story,2016,Action | Adventure | Science Fiction,2:13,Blu-ray,USA,English,No,No,No,133,Medium
Rome: Season 1,2005,Action | Drama | History | Romance | War,12:00,Blu-ray,UK,English,No,No,Yes,720,Long
Ronin,1998,Action | Crime | Thriller,2:02,Blu-ray,USA,English,No,No,No,122,Medium
Rumble in the Bronx,1995,Action | Comedy | Crime | Thriller,1:44,DVD,Hong Kong,Cantonese,Yes,No,No,104,Medium
"Run, Fat Boy, Run",2007,Comedy | Romance | Sports,1:40,DVD,UK,English,No,No,No,100,Medium
Ruroni Kenshin: Meiji kenkaku roman tan: Tsuioku hen,2000,Action | Adventure | Animation | Drama | History,1:55,DVD,Japan,Japanese,Yes,No,Yes,115,Medium
Sailor Moon #04: The Secret Of The Sailor Scouts,1995,Action | Adventure | Animation | Comedy | Family | Fantasy | Romance,2:15,Blu-ray,Japan,English,No,No,Yes,135,Medium
Sailor Moon R: The Movie: The Promise Of The Rose,1993,Action | Anime | Comedy,1:00,Blu-ray,USA,English,No,No,No,60,Short
Sailor Moon S,1995,Anime,0:00,Blu-ray,USA,English,No,No,No,720,Long
Sailor Moon: Season 2,1993,Action | Adventure | Animation | Comedy | Family | Fantasy | Romance,17:12,Blu-ray,Japan,Japanese,Yes,No,Yes,312,Long
Saving Mr. Banks,2013,Biography | Comedy | Drama,2:05,Blu-ray,UK,English,No,No,No,125,Medium
Saving Private Ryan,1998,Drama | War,2:49,DVD,USA,English,No,No,No,169,Long
Secret Diary Of A Call Girl: Season 1,2007,Drama,3:05,DVD,UK,English,No,No,Yes,185,Long
Seven Swords,2005,Action | Adventure | Fantasy,2:33,DVD,Hong Kong,Cantonese,Yes,No,No,153,Medium
Seven Swordsmen,2005,Action,2:33:00,DVD,Hong Kong,English,No,No,No,153,Medium
Shang-Chi and the Legend of the Ten Rings,2021,Action | Adventure | Fantasy | Science Fiction,2:12,4K UHD,USA,English,No,No,No,132,Medium
Shaolin vs. Evil Dead,2004,Action | Comedy | Horror,1:34,DVD,Hong Kong,English,No,No,No,94,Medium
Shaun of the Dead,2004,Comedy | Horror,1:39,DVD,UK,English,No,No,No,99,Medium
Shooter,2007,Action | Drama | Thriller,2:04,DVD,USA,English,No,No,No,124,Medium
Short Circuit,1986,Comedy | Family | Science Fiction,1:38,DVD,USA,English,No,No,No,98,Medium
Short Circuit 2,1988,Comedy | Drama | Family | Science Fiction,1:50,DVD,USA,English,No,No,No,110,Medium
Sicario,2015,Action | Crime | Drama | Mystery | Thriller,2:01,Blu-ray,USA,English,No,No,No,121,Medium
The Simpsons: Season 1,1989,Animation | Comedy,6:30,DVD,USA,English,No,No,Yes,390,Long
The Simpsons: Season 10,1998,Animation | Comedy,11:23,DVD,USA,English,No,No,Yes,683,Long
The Simpsons: Season 11,1999,Animation | Comedy,11:00,DVD,USA,English,No,No,Yes,660,Long
The Simpsons: Season 2,1990,Animation | Comedy,9:29,DVD,USA,English,No,No,Yes,569,Long
The Simpsons: Season 4,1992,Animation | Comedy,11:00,DVD,USA,English,No,No,Yes,660,Long
The Simpsons: Season 5,1993,Animation | Comedy,10:53,DVD,USA,English,No,No,Yes,653,Long
The Simpsons: Season 6,1994,Animation | Comedy,12:30,DVD,USA,English,No,No,Yes,750,Long
The Simpsons: Season 7,1995,Animation | Comedy,12:30,DVD,USA,English,No,No,Yes,750,Long
The Simpsons: Season 8,1996,Animation | Comedy,12:30,DVD,USA,English,No,No,Yes,750,Long
The Simpsons: Season 9,1997,Animation | Comedy,12:30,DVD,USA,English,No,No,Yes,750,Long
Sin City,2005,Crime | Thriller,2:04,Blu-ray,USA,English,No,No,No,124,Medium
Slumdog Millionaire,2008,Crime | Drama | Romance,2:00,DVD,UK,English,No,No,No,120,Medium
The Social Network,2010,Biography | Drama,2:00,Blu-ray,USA,English,No,No,No,120,Medium
Spaceballs,1987,Adventure | Comedy | Science Fiction,1:36,DVD,USA,English,No,No,No,96,Medium
Spectre,2015,Action | Adventure | Thriller,2:28,Blu-ray,UK,English,No,No,No,148,Medium
Star Trek,2009,Action | Adventure | Science Fiction,2:07,Blu-ray,USA,English,No,No,No,127,Medium
Star Wars: Episode IV - A New Hope,1977,Action | Adventure | Fantasy | Science Fiction,2:01,Blu-ray,USA,English,No,No,No,121,Medium
Star Wars: Episode V - The Empire Strikes Back,1980,Action | Adventure | Fantasy | Science Fiction,2:04,Blu-ray,USA,English,No,No,No,124,Medium
Star Wars: Episode VI - Return of the Jedi,1983,Action | Adventure | Fantasy | Science Fiction,2:11,Blu-ray,USA,English,No,No,No,131,Medium
Star Wars: Episode VII - The Force Awakens,2015,Action | Adventure | Science Fiction,2:16,Blu-ray,USA,English,No,No,No,136,Medium
Stargate,1994,Action | Adventure | Science Fiction,1:56,Blu-ray,USA,English,No,No,No,116,Medium
Stripes,1981,Comedy | War,1:46,DVD,USA,English,No,No,No,106,Medium
Sucker Punch,2011,Action | Adventure | Fantasy,1:50,Blu-ray,USA,English,No,No,No,110,Medium
Teenage Mutant Ninja Turtles,1990,Action | Adventure | Comedy | Family | Science Fiction,1:33,DVD,Hong Kong,English,No,No,No,93,Medium
Tenet,2020,Action | Science Fiction | Thriller,2:30,4K UHD,USA,English,No,No,No,150,Medium
The Terminator,1984,Action | Science Fiction,1:47,Blu-ray,UK,English,No,No,No,107,Medium
Terminator 2: Judgment Day,1991,Action | Science Fiction,2:17,Blu-ray,USA,English,No,No,No,137,Medium
Tiny Toon Adventures: How I Spent My Vacation,1992,Adventure | Animation | Comedy | Family | Fantasy | Music | Musical | Mystery | Romance | Science Fiction,1:20,DVD,USA,English,No,No,Yes,80,Short
To Catch a Thief,1955,Mystery | Romance | Thriller,1:46,Blu-ray,USA,English,No,No,No,106,Medium
Top Gun,1986,Action | Drama,1:49,Blu-ray,USA,English,No,No,No,109,Medium
Top Gun: Maverick,2022,Action | Drama,2:10,4K UHD,USA,English,No,No,No,130,Medium
Total Recall,1990,Action | Adventure | Science Fiction,1:53,Blu-ray,USA,English,No,No,No,113,Medium
The Town,2010,Crime | Drama | Thriller,2:05,Blu-ray,USA,English,No,No,No,125,Medium
Transformers,2007,Action | Adventure | Science Fiction,2:24,Blu-ray,USA,English,No,No,No,144,Medium
Tropic Thunder,2008,Action | Comedy | War,1:47,Blu-ray,USA,English,No,No,No,107,Medium
True Grit,2010,Drama | Western,1:50,Blu-ray,USA,English,No,No,No,110,Medium
Under Siege,1992,Action | Thriller,1:43,DVD,France,English,No,No,No,103,Medium
Up,2009,Adventure | Animation | Comedy | Drama | Family,1:36,Blu-ray,USA,English,No,No,No,96,Medium
Vampire Hunter D: Bloodlust,2000,Action | Animation | Fantasy | Horror | Science Fiction,1:43,DVD,Japan,English,No,No,Yes,103,Medium
The Venture Bros.: Season 3,2008,Action | Adventure | Animation | Comedy | Fantasy | Science Fiction,5:00,Blu-ray,USA,English,No,No,Yes,300,Long
Vertigo,1958,Mystery | Romance | Thriller,2:08,Blu-ray,USA,English,No,No,No,128,Medium
WALL·E,2008,Adventure | Animation | Family | Science Fiction,1:38,Blu-ray,USA,English,No,No,No,98,Medium
Wanted,2008,Action | Crime | Thriller,1:50,Blu-ray,USA,English,No,No,No,110,Medium
Warrior From Shaolin,1984,Action | Adventure,1:30,DVD,USA,English,No,No,No,90,Medium
Watchmen,2009,Action | Drama | Mystery | Science Fiction,2:42,Blu-ray,USA,English,No,No,No,162,Medium
Weeds: Season 1,2005,Comedy | Crime | Drama,5:00,DVD,USA,English,No,No,Yes,300,Long
Who Am I?,1998,Action | Adventure | Comedy | Science Fiction | Thriller,2:00,DVD,Hong Kong,English,No,No,No,120,Medium
Wild,2014,Adventure | Biography | Drama,1:55,Blu-ray,USA,English,No,No,No,115,Medium
Will & Grace: Season 2,1999,Comedy | Romance,10:00,DVD,USA,English,No,No,Yes,600,Long
Wonder Woman,2017,Action | Adventure | Fantasy | Science Fiction | War,2:21,Blu-ray,USA,English,No,No,No,141,Medium
Wreck-It Ralph,2012,Adventure | Animation | Comedy | Family | Fantasy | Science Fiction,1:41,Blu-ray,USA,English,No,No,No,101,Medium
X-Men: First Class,2011,Action | Adventure | Science Fiction,2:11,Blu-ray,USA,English,No,No,No,131,Medium
X-Men: Days of Future Past,2014,Action | Adventure | Science Fiction | Thriller,2:12,Blu-ray,UK,English,No,No,No,132,Medium
Yi dan er li san gong fu,1979,Action | Comedy,1:32,DVD,Hong Kong,English,No,No,No,92,Medium
Yi dan er li san gong fu,1979,Action | Comedy,1:32,DVD,Hong Kong,English,No,No,No,92,Medium
Your Name.,2016,Animation | Drama | Fantasy | Romance,1:46,Blu-ray,Japan,Japanese,Yes,No,No,106,Medium
Zootopia,2016,Adventure | Animation | Comedy | Crime | Family | Mystery,1:48,Blu-ray,USA,English,No,No,No,108,Medium
