Title,Release Date,Genres,Runtime,Format,Country,Language,Foreign Language,Seen,Is TV Series,Runtime in Minutes,Duration Type
Captain America: Civil War,2016,Action | Science Fiction,2:27,Blu-ray,USA,English,No,No,No,147,Medium
Captain America: The Winter Soldier,2014,Action | Adventure | Science Fiction | Thriller,2:16,Blu-ray,USA,English,No,No,No,136,Medium
Cars,2006,Adventure | Animation | Comedy | Family | Sports,1:57,Blu-ray,USA,English,No,No,No,117,Medium
Casino Royale,2006,Action | Adventure | Thriller,2:24,Blu-ray,UK,English,No,No,No,144,Medium
A Charlie Brown Christmas,1965,Animation | Comedy | Drama | Family | Music,0:25,Blu-ray,USA,English,No,No,No,745,Long
Peanuts: A Charlie Brown Thanksgiving,1973,Animation | Short | Comedy,0:25,Blu-ray,USA,English,No,No,No,745,Long
Clarissa Explains It All: Season 1,1991,Comedy | Family,6:30,DVD,USA,English,No,No,Yes,390,Long
A Clockwork Orange,1971,Crime | Science Fiction,2:16,Blu-ray,UK,English,No,No,No,136,Medium
Cloverfield,2008,Horror | Science Fiction | Thriller,1:25,Blu-ray,USA,English,No,No,No,85,Short
Conan the Barbarian,1982,Action | Adventure | Fantasy,2:09,DVD,USA,English,No,No,No,129,Medium
Conan the Destroyer,1984,Action | Adventure | Fantasy,1:43,DVD,USA,English,No,No,No,103,Medium
Coraline,2009,Animation | Drama | Family | Fantasy,1:40,Blu-ray,USA,English,No,No,No,100,Medium
Cowboy Bebop #1,1998,Action | Adventure | Animation | Drama | Science Fiction | Thriller,1:56,Blu-ray,Japan,Japanese,Yes,No,Yes,116,Medium
Cowboy Bebop #2,1998,Action | Adventure | Animation | Comedy | Drama | Science Fiction,1:56,Blu-ray,Japan,Japanese,Yes,No,Yes,116,Medium
Cowboy Bebop #3,1998,Action | Adventure | Animation | Comedy | Drama | Science Fiction,2:05,Blu-ray,Japan,Japanese,Yes,No,Yes,125,Medium
Cowboy Bebop #4,1998,Action | Adventure | Animation | Comedy | Drama | Science Fiction,1:40,Blu-ray,Japan,Japanese,Yes,No,Yes,100,Medium
